region,vegClimZoneLab,ref
Midt-Norge,Boreonemoral sone (BN),0.169834733009338
Midt-Norge,Lavalpin sone (LA),0
Midt-Norge,Mellomboreal sone (MB),1.05797839164734
Midt-Norge,Nordboreal sone (NB),0.427337646484375
Midt-Norge,Sørboreal sone (SB),0.388002941022821
Nord-Norge,Mellomboreal sone (MB),0.267328858375549
Nord-Norge,Nordboreal sone (NB),0.147388458251953
Nord-Norge,Sørboreal sone (SB),0.214342668652534
Sørlandet,Boreonemoral sone (BN),0.200654469430447
Sørlandet,Nordboreal sone (NB),0.249664306640625
Vestlandet,Boreonemoral sone (BN),0.218098640441895
Vestlandet,Mellomboreal sone (MB),2.41041564941406
Vestlandet,Nordboreal sone (NB),3.0184326171875
Vestlandet,Sørboreal sone (SB),3.10366821289062
Østlandet,Boreonemoral sone (BN),0.218047857284546
Østlandet,Mellomboreal sone (MB),1.4344482421875
Østlandet,Nordboreal sone (NB),1.3909912109375
Østlandet,Sørboreal sone (SB),1.34039306640625
Midt-Norge,Boreonemoral sone (BN),"0.1698347330093384"
Midt-Norge,Lavalpin sone (LA),"0"
Midt-Norge,Mellomboreal sone (MB),"1.057978391647339"
Midt-Norge,Nordboreal sone (NB),"0.427337646484375"
Midt-Norge,Sørboreal sone (SB),"0.3880029410228212"
Nord-Norge,Mellomboreal sone (MB),"0.2673288583755493"
Nord-Norge,Nordboreal sone (NB),"0.1473884582519531"
Nord-Norge,Sørboreal sone (SB),"0.2143426686525345"
Sørlandet,Boreonemoral sone (BN),"0.2006544694304466"
Sørlandet,Nordboreal sone (NB),"0.249664306640625"
Vestlandet,Boreonemoral sone (BN),"0.2180986404418945"
Vestlandet,Mellomboreal sone (MB),"2.410415649414062"
Vestlandet,Nordboreal sone (NB),"3.0184326171875"
Vestlandet,Sørboreal sone (SB),"3.103668212890625"
Østlandet,Boreonemoral sone (BN),"0.2180478572845459"
Østlandet,Mellomboreal sone (MB),"1.4344482421875"
Østlandet,Nordboreal sone (NB),"1.3909912109375"
Østlandet,Sørboreal sone (SB),"1.34039306640625"
Midt-Norge,Boreonemoral sone (BN),"0.1698347330093384"
Midt-Norge,Lavalpin sone (LA),"0"
Midt-Norge,Mellomboreal sone (MB),"1.057978391647339"
Midt-Norge,Nordboreal sone (NB),"0.427337646484375"
Midt-Norge,Sørboreal sone (SB),"0.3880029410228212"
Nord-Norge,Mellomboreal sone (MB),"0.2673288583755493"
Nord-Norge,Nordboreal sone (NB),"0.1473884582519531"
Nord-Norge,Sørboreal sone (SB),"0.2143426686525345"
Sørlandet,Boreonemoral sone (BN),"0.2006544694304466"
Sørlandet,Nordboreal sone (NB),"0.249664306640625"
Vestlandet,Boreonemoral sone (BN),"0.2180986404418945"
Vestlandet,Mellomboreal sone (MB),"2.410415649414062"
Vestlandet,Nordboreal sone (NB),"3.0184326171875"
Vestlandet,Sørboreal sone (SB),"3.103668212890625"
Østlandet,Boreonemoral sone (BN),"0.2180478572845459"
Østlandet,Mellomboreal sone (MB),"1.4344482421875"
Østlandet,Nordboreal sone (NB),"1.3909912109375"
Østlandet,Sørboreal sone (SB),"1.34039306640625"
