"region","vegClimZoneLab","ref"
"Midt-Norge","Boreonemoral sone (BN)",0.0352189861135829
"Midt-Norge","Lavalpin sone (LA)",0.39093280582513
"Midt-Norge","Mellomboreal sone (MB)",0.5601806640625
"Midt-Norge","Nordboreal sone (NB)",0.5924072265625
"Midt-Norge","Sørboreal sone (SB)",0.193502902984619
"Nord-Norge","Lavalpin sone (LA)",0.224952697753906
"Nord-Norge","Mellomboreal sone (MB)",0.417903002570657
"Nord-Norge","Nordboreal sone (NB)",0.105625528617801
"Nord-Norge","Sørboreal sone (SB)",0.0643411586748674
"Sørlandet","Boreonemoral sone (BN)",0.417960166931152
"Sørlandet","Lavalpin sone (LA)",0
"Sørlandet","Mellomboreal sone (MB)",0.783966064453125
"Sørlandet","Nordboreal sone (NB)",0.13983154296875
"Sørlandet","Sørboreal sone (SB)",1.06484985351562
"Vestlandet","Boreonemoral sone (BN)",0.107028126716614
"Vestlandet","Mellomboreal sone (MB)",0.169113159179688
"Vestlandet","Nordboreal sone (NB)",0.256583755856924
"Vestlandet","Sørboreal sone (SB)",0.26593017578125
"Østlandet","Boreonemoral sone (BN)",0.226048499750336
"Østlandet","Lavalpin sone (LA)",0.0451181179598464
"Østlandet","Mellomboreal sone (MB)",0.728179931640625
"Østlandet","Nordboreal sone (NB)",0.1396484375
"Østlandet","Sørboreal sone (SB)",0.861307480755974
