"region","vegClimZoneLab","ref"
"Midt-Norge","Boreonemoral sone (BN)",0.0199217610173039
"Midt-Norge","Mellomboreal sone (MB)",0.300933837890625
"Midt-Norge","Nordboreal sone (NB)",0.127197265625
"Midt-Norge","Sørboreal sone (SB)",0.428804084436217
"Nord-Norge","Lavalpin sone (LA)",0
"Nord-Norge","Mellomboreal sone (MB)",0.175198554992676
"Nord-Norge","Nordboreal sone (NB)",0.0706240367889404
"Nord-Norge","Sørboreal sone (SB)",0.0956807136535644
"Sørlandet","Boreonemoral sone (BN)",1.11313629150391
"Sørlandet","Mellomboreal sone (MB)",0.0943603515625
"Sørlandet","Nordboreal sone (NB)",0.13970947265625
"Sørlandet","Sørboreal sone (SB)",0.09271240234375
"Vestlandet","Boreonemoral sone (BN)",0.0745849925291958
"Vestlandet","Mellomboreal sone (MB)",0.149017333984375
"Vestlandet","Nordboreal sone (NB)",0.083465576171875
"Vestlandet","Sørboreal sone (SB)",0.0821816631566698
"Østlandet","Boreonemoral sone (BN)",1.21062469482422
"Østlandet","Lavalpin sone (LA)",0.0675048828125
"Østlandet","Mellomboreal sone (MB)",0.331329345703125
"Østlandet","Nordboreal sone (NB)",0.05181884765625
"Østlandet","Sørboreal sone (SB)",1.74303436279297
