system:index,region,vegClimZoneLab,pop,ref,skog
+39304+226512,Østlandet,Mellomboreal sone (MB),1.90677341090773,1.90677341090773,2.90090942382812
+39305+226360,Østlandet,Sørboreal sone (SB),2.38708186149597,2.38708186149597,13.0522766113281
+39324+226354,Østlandet,Mellomboreal sone (MB),1.90677341090773,1.90677341090773,10.9530578613281
+39398+226361,Østlandet,Mellomboreal sone (MB),1.90677341090773,1.90677341090773,10.5728091285342
+39412+226364,Østlandet,Mellomboreal sone (MB),1.90677341090773,1.90677341090773,11.0521443684896
+39759+226357,Østlandet,Mellomboreal sone (MB),1.90677341090773,1.90677341090773,5.10659520766314
+39781+226556,Østlandet,Mellomboreal sone (MB),1.90677341090773,1.90677341090773,7.51153564453125
+39784+226564,Østlandet,Mellomboreal sone (MB),1.90677341090773,1.90677341090773,4.38787841796875
+39795+226563,Østlandet,Mellomboreal sone (MB),5.28726196289062,1.90677341090773,4.50152587890625
+39801+226554,Østlandet,Mellomboreal sone (MB),1.90677341090773,1.90677341090773,7.43060302734375
+41350+225818,Østlandet,Sørboreal sone (SB),3.1334228515625,2.38708186149597,4.740478515625
+41354+225819,Østlandet,Sørboreal sone (SB),2.38708186149597,2.38708186149597,5.93645222981771
+41534+225787,Østlandet,Sørboreal sone (SB),2.38708186149597,2.38708186149597,7.67440795898438
+41866+225862,Østlandet,Sørboreal sone (SB),2.61798095703125,2.38708186149597,9.20333862304688
+41876+225855,Østlandet,Sørboreal sone (SB),2.38708186149597,2.38708186149597,8.96563720703125
+41921+225853,Østlandet,Sørboreal sone (SB),7.86836242675781,2.38708186149597,2.79071044921875
+49392+240214,Midt-Norge,Mellomboreal sone (MB),3.38972473144531,0.275511819335348,2.351806640625
+49403+240216,Midt-Norge,Mellomboreal sone (MB),0.275511819335348,0.275511819335348,2.64857362762211
+49417+240222,Midt-Norge,Mellomboreal sone (MB),0.275511819335348,0.275511819335348,3.17355346679688
+39304+226512,Østlandet,Mellomboreal sone (MB),"1.546310424804688","1.00732421875","4.624435236372666"
+39305+226360,Østlandet,Sørboreal sone (SB),"2.091682434082031","2.091682434082031","6.749641527678807"
+39324+226354,Østlandet,Mellomboreal sone (MB),"1.2938232421875","1.00732421875","4.624435236372666"
+39398+226361,Østlandet,Mellomboreal sone (MB),"1.00732421875","1.00732421875","4.624435236372666"
+39412+226364,Østlandet,Mellomboreal sone (MB),"1.301284790039062","1.00732421875","4.624435236372666"
+39759+226357,Østlandet,Mellomboreal sone (MB),"1.00732421875","1.00732421875","4.624435236372666"
+39781+226556,Østlandet,Mellomboreal sone (MB),"1.00732421875","1.00732421875","4.624435236372666"
+39784+226564,Østlandet,Mellomboreal sone (MB),"1.00732421875","1.00732421875","4.624435236372666"
+39795+226563,Østlandet,Mellomboreal sone (MB),"5.287261962890625","1.00732421875","4.624435236372666"
+39801+226554,Østlandet,Mellomboreal sone (MB),"1.00732421875","1.00732421875","4.624435236372666"
+41350+225818,Østlandet,Sørboreal sone (SB),"3.1334228515625","2.091682434082031","6.749641527678807"
+41354+225819,Østlandet,Sørboreal sone (SB),"2.091682434082031","2.091682434082031","6.749641527678807"
+41534+225787,Østlandet,Sørboreal sone (SB),"2.091682434082031","2.091682434082031","6.749641527678807"
+41866+225862,Østlandet,Sørboreal sone (SB),"2.61798095703125","2.091682434082031","6.749641527678807"
