region,vegClimZoneLab,ref
Midt-Norge,Mellomboreal sone (MB),0.275511819335348
Midt-Norge,Nordboreal sone (NB),0.149729410807292
Vestlandet,Boreonemoral sone (BN),0.169421468758422
Østlandet,Mellomboreal sone (MB),1.90677341090773
Østlandet,Sørboreal sone (SB),2.38708186149597
Midt-Norge,Mellomboreal sone (MB),"0.041534423828125"
Midt-Norge,Nordboreal sone (NB),"0.0133056640625"
Vestlandet,Boreonemoral sone (BN),"0.04905465201607533"
Østlandet,Mellomboreal sone (MB),"1.00732421875"
Østlandet,Sørboreal sone (SB),"2.091682434082031"
Midt-Norge,Boreonemoral sone (BN),"0.02199172973632812"
Midt-Norge,Mellomboreal sone (MB),"0.550172867313508"
Midt-Norge,Nordboreal sone (NB),"0.01971435546875"
Midt-Norge,Sørboreal sone (SB),"0.3113250732421875"
Nord-Norge,Mellomboreal sone (MB),"0.7336616516113281"
Nord-Norge,Sørboreal sone (SB),"0.06546133956653159"
Sørlandet,Boreonemoral sone (BN),"0.5048606395721436"
Sørlandet,Mellomboreal sone (MB),"1.12066650390625"
Sørlandet,Nordboreal sone (NB),"0.0172119140625"
Sørlandet,Sørboreal sone (SB),"1.064849853515625"
Vestlandet,Boreonemoral sone (BN),"0.04905465201607533"
Vestlandet,Mellomboreal sone (MB),"0.1666717529296875"
Vestlandet,Nordboreal sone (NB),"0.307861328125"
Vestlandet,Sørboreal sone (SB),"0.2329635620117188"
Østlandet,Boreonemoral sone (BN),"0.2439407110214234"
Østlandet,Mellomboreal sone (MB),"1.044075012207031"
Østlandet,Nordboreal sone (NB),"0.2701416015625"
Østlandet,Sørboreal sone (SB),"1.640112144751184"
Midt-Norge,Boreonemoral sone (BN),"0.02199172973632812"
Midt-Norge,Mellomboreal sone (MB),"0.550172867313508"
Midt-Norge,Nordboreal sone (NB),"0.01971435546875"
Midt-Norge,Sørboreal sone (SB),"0.3113250732421875"
Nord-Norge,Mellomboreal sone (MB),"0.7336616516113281"
Nord-Norge,Sørboreal sone (SB),"0.06546133956653159"
Sørlandet,Boreonemoral sone (BN),"0.5048606395721436"
Sørlandet,Mellomboreal sone (MB),"1.12066650390625"
Sørlandet,Nordboreal sone (NB),"0.0172119140625"
Sørlandet,Sørboreal sone (SB),"1.064849853515625"
Vestlandet,Boreonemoral sone (BN),"0.04905465201607533"
Vestlandet,Mellomboreal sone (MB),"0.1666717529296875"
Vestlandet,Nordboreal sone (NB),"0.307861328125"
Vestlandet,Sørboreal sone (SB),"0.2329635620117188"
Østlandet,Boreonemoral sone (BN),"0.2439407110214234"
Østlandet,Mellomboreal sone (MB),"1.044075012207031"
Østlandet,Nordboreal sone (NB),"0.2701416015625"
Østlandet,Sørboreal sone (SB),"1.640112144751184"
Midt-Norge,Boreonemoral sone (BN),"0.02199172973632812"
Midt-Norge,Mellomboreal sone (MB),"0.550172867313508"
Midt-Norge,Nordboreal sone (NB),"0.01971435546875"
Midt-Norge,Sørboreal sone (SB),"0.3113250732421875"
Nord-Norge,Mellomboreal sone (MB),"0.7336616516113281"
Nord-Norge,Sørboreal sone (SB),"0.06546133956653159"
Sørlandet,Boreonemoral sone (BN),"0.5048606395721436"
Sørlandet,Mellomboreal sone (MB),"1.12066650390625"
Sørlandet,Nordboreal sone (NB),"0.0172119140625"
Sørlandet,Sørboreal sone (SB),"1.064849853515625"
Vestlandet,Boreonemoral sone (BN),"0.04905465201607533"
Vestlandet,Mellomboreal sone (MB),"0.1666717529296875"
Vestlandet,Nordboreal sone (NB),"0.307861328125"
Vestlandet,Sørboreal sone (SB),"0.2329635620117188"
Østlandet,Boreonemoral sone (BN),"0.2439407110214234"
Østlandet,Mellomboreal sone (MB),"1.044075012207031"
Østlandet,Nordboreal sone (NB),"0.2701416015625"
Østlandet,Sørboreal sone (SB),"1.640112144751184"
Midt-Norge,Boreonemoral sone (BN),"0.02199172973632812"
Midt-Norge,Mellomboreal sone (MB),"0.550172867313508"
Midt-Norge,Nordboreal sone (NB),"0.01971435546875"
Midt-Norge,Sørboreal sone (SB),"0.3113250732421875"
Nord-Norge,Mellomboreal sone (MB),"0.7336616516113281"
Nord-Norge,Sørboreal sone (SB),"0.06546133956653159"
Sørlandet,Boreonemoral sone (BN),"0.5048606395721436"
