region,vegClimZoneLab,ref
Midt-Norge,Mellomboreal sone (MB),0.357210354247448
Midt-Norge,Nordboreal sone (NB),0.924774169921875
Vestlandet,Boreonemoral sone (BN),0.0436107052697076
Østlandet,Mellomboreal sone (MB),0.540780916015782
Østlandet,Sørboreal sone (SB),1.29924011230469
Midt-Norge,Mellomboreal sone (MB),"0.357210354247448"
Midt-Norge,Nordboreal sone (NB),"0.924774169921875"
Vestlandet,Boreonemoral sone (BN),"0.03462696075439453"
Østlandet,Mellomboreal sone (MB),"0.07435054924432448"
Østlandet,Sørboreal sone (SB),"0.0901336669921875"
Midt-Norge,Mellomboreal sone (MB),"0.357210354247448"
Midt-Norge,Nordboreal sone (NB),"0.924774169921875"
Vestlandet,Boreonemoral sone (BN),"0.03462696075439453"
Østlandet,Mellomboreal sone (MB),"0.07435054924432448"
Østlandet,Sørboreal sone (SB),"0.0901336669921875"
Nord-Norge,Nordboreal sone (NB),"0.07840365413166281"
Vestlandet,Boreonemoral sone (BN),"0.03462696075439453"
Midt-Norge,Boreonemoral sone (BN),"0.01708984375"
Midt-Norge,Mellomboreal sone (MB),"0.313262939453125"
Midt-Norge,Nordboreal sone (NB),"0.177001953125"
Midt-Norge,Sørboreal sone (SB),"0.3527870989860372"
Nord-Norge,Mellomboreal sone (MB),"0.1227550506591797"
Nord-Norge,Nordboreal sone (NB),"0.1058693803064355"
Nord-Norge,Sørboreal sone (SB),"0.08925197465481771"
Sørlandet,Boreonemoral sone (BN),"1.034538269042969"
Sørlandet,Mellomboreal sone (MB),"0.076171875"
Sørlandet,Nordboreal sone (NB),"0.08298587283572637"
Sørlandet,Sørboreal sone (SB),"0.1569050553853225"
Vestlandet,Boreonemoral sone (BN),"0.03462696075439453"
Vestlandet,Mellomboreal sone (MB),"0.073760986328125"
Vestlandet,Nordboreal sone (NB),"0.090789794921875"
Vestlandet,Sørboreal sone (SB),"0.18328857421875"
Østlandet,Boreonemoral sone (BN),"0.4522240956624349"
Østlandet,Mellomboreal sone (MB),"0.076898711604324"
Østlandet,Nordboreal sone (NB),"0.0801491595587156"
Østlandet,Sørboreal sone (SB),"1.425254821777344"
Midt-Norge,Boreonemoral sone (BN),"0.01708984375"
Midt-Norge,Mellomboreal sone (MB),"0.313262939453125"
Midt-Norge,Nordboreal sone (NB),"0.177001953125"
Midt-Norge,Sørboreal sone (SB),"0.3527870989860372"
Nord-Norge,Mellomboreal sone (MB),"0.1227550506591797"
Nord-Norge,Nordboreal sone (NB),"0.1058693803064355"
Nord-Norge,Sørboreal sone (SB),"0.08925197465481771"
Sørlandet,Boreonemoral sone (BN),"1.034538269042969"
Sørlandet,Mellomboreal sone (MB),"0.076171875"
Sørlandet,Nordboreal sone (NB),"0.08298587283572637"
Sørlandet,Sørboreal sone (SB),"0.1569050553853225"
Vestlandet,Boreonemoral sone (BN),"0.03462696075439453"
Vestlandet,Mellomboreal sone (MB),"0.073760986328125"
Vestlandet,Nordboreal sone (NB),"0.090789794921875"
Vestlandet,Sørboreal sone (SB),"0.18328857421875"
Østlandet,Boreonemoral sone (BN),"0.4522240956624349"
Østlandet,Mellomboreal sone (MB),"0.076898711604324"
Østlandet,Nordboreal sone (NB),"0.0801491595587156"
Østlandet,Sørboreal sone (SB),"1.425254821777344"
Midt-Norge,Boreonemoral sone (BN),"0.01708984375"
Midt-Norge,Mellomboreal sone (MB),"0.313262939453125"
Midt-Norge,Nordboreal sone (NB),"0.177001953125"
Midt-Norge,Sørboreal sone (SB),"0.3527870989860372"
Nord-Norge,Mellomboreal sone (MB),"0.1227550506591797"
Nord-Norge,Nordboreal sone (NB),"0.1058693803064355"
Nord-Norge,Sørboreal sone (SB),"0.08925197465481771"
Sørlandet,Boreonemoral sone (BN),"1.034538269042969"
Sørlandet,Mellomboreal sone (MB),"0.076171875"
Sørlandet,Nordboreal sone (NB),"0.08298587283572637"
